player,team,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,agent,map,tourney_type,game_id,match_id,role_agent,total_round,ot,win_lose,clutches
Crws,TLN,7,0,0,0,1,0,0,0,0,Viper,Icebox,League Play: Week 1,119522,184459,Controller,21,No,win,1
foxz,TLN,4,1,0,0,0,0,0,0,0,Sova,Icebox,League Play: Week 1,119522,184459,Initiator,21,No,win,0
garnetS,TLN,4,0,0,0,0,0,0,0,0,Jett,Icebox,League Play: Week 1,119522,184459,Duelist,21,No,win,0
BORKUM,TS,5,2,0,0,1,0,0,0,0,Brimstone,Fracture,League Play: Week 1,119523,184459,Controller,16,No,win,1
JessieVash,TS,4,1,0,0,1,0,0,0,0,Fade,Fracture,League Play: Week 1,119523,184459,Initiator,16,No,win,1
DubsteP,TS,3,1,0,0,0,1,0,0,0,Cypher,Fracture,League Play: Week 1,119523,184459,Sentinel,16,No,win,1
Jremy,TS,2,0,0,0,0,0,0,0,0,Raze,Fracture,League Play: Week 1,119523,184459,Duelist,16,No,win,0
invy,TS,0,1,0,0,1,0,0,0,0,Breach,Fracture,League Play: Week 1,119523,184459,Initiator,16,No,win,1
Sushiboys,TLN,1,0,0,0,0,0,0,0,0,Killjoy,Fracture,League Play: Week 1,119523,184459,Sentinel,16,No,lose,0
Crws,TLN,1,1,0,0,0,0,0,0,0,Brimstone,Fracture,League Play: Week 1,119523,184459,Controller,16,No,lose,0
foxz,TLN,0,2,0,0,0,0,0,0,0,Kayo,Fracture,League Play: Week 1,119523,184459,Initiator,16,No,lose,0
JitBoyS,TLN,3,0,0,0,0,0,0,0,0,Breach,Fracture,League Play: Week 1,119523,184459,Initiator,16,No,lose,0
garnetS,TLN,1,0,0,0,0,0,0,0,0,Neon,Fracture,League Play: Week 1,119523,184459,Duelist,16,No,lose,0
xffero,RRQ,5,0,1,0,1,0,0,0,0,Fade,Fracture,League Play: Week 1,119524,184460,Initiator,22,No,lose,1
fl1pzjder,RRQ,4,0,0,0,0,0,0,0,0,Breach,Fracture,League Play: Week 1,119524,184460,Initiator,22,No,lose,0
EJAY,RRQ,1,1,0,0,0,0,0,0,0,Raze,Fracture,League Play: Week 1,119524,184460,Duelist,22,No,lose,0
Lmemore,RRQ,1,1,0,0,0,0,0,0,0,Cypher,Fracture,League Play: Week 1,119524,184460,Sentinel,22,No,lose,0
2ge,RRQ,4,1,0,0,1,0,0,0,0,Brimstone,Fracture,League Play: Week 1,119524,184460,Controller,22,No,lose,1
k1Ng,GEN,4,1,1,0,2,0,0,0,0,Viper,Fracture,League Play: Week 1,119524,184460,Controller,22,No,win,2
TS,GEN,0,3,0,0,0,0,0,0,0,Astra,Fracture,League Play: Week 1,119524,184460,Controller,22,No,win,0
eKo,GEN,3,0,0,0,0,0,0,0,0,Breach,Fracture,League Play: Week 1,119524,184460,Initiator,22,No,win,0
GodDead,GEN,0,1,0,0,1,0,0,0,0,Kayo,Fracture,League Play: Week 1,119524,184460,Initiator,22,No,win,1
Meteor,GEN,4,0,2,0,0,0,0,0,0,Raze,Fracture,League Play: Week 1,119524,184460,Duelist,22,No,win,0
xffero,RRQ,4,1,0,0,0,0,0,0,0,Skye,Lotus,League Play: Week 1,119525,184460,Initiator,19,No,lose,0
fl1pzjder,RRQ,3,0,0,0,0,0,0,0,0,Breach,Lotus,League Play: Week 1,119525,184460,Initiator,19,No,lose,0
EJAY,RRQ,2,0,0,0,0,0,0,0,0,Jett,Lotus,League Play: Week 1,119525,184460,Duelist,19,No,lose,0
