team,pistol_win,eco_round,eco_win,semi_eco_round,semi_eco_win,semi_buy_round,semi_buy_win,buy_round,buy_win,game_id,tourney_type,map,match_id,total_round,ot,win_lose
DRX,1.0,3.0,1.0,1.0,0.0,2.0,2.0,14.0,10.0,119575.0,League Play: Week 5,Haven,184478.0,20,No,win
GEN,0.0,4.0,1.0,0.0,0.0,3.0,3.0,16.0,9.0,119576.0,League Play: Week 5,Fracture,184478.0,23,No,win
DRX,2.0,3.0,2.0,3.0,0.0,5.0,2.0,12.0,6.0,119576.0,League Play: Week 5,Fracture,184478.0,23,No,lose
GEN,1.0,3.0,1.0,1.0,0.0,5.0,1.0,8.0,2.0,119577.0,League Play: Week 5,Pearl,184478.0,17,No,lose
DRX,1.0,3.0,2.0,0.0,0.0,3.0,1.0,11.0,10.0,119577.0,League Play: Week 5,Pearl,184478.0,17,No,win
T1,2.0,2.0,2.0,0.0,0.0,7.0,5.0,13.0,6.0,119578.0,League Play: Week 5,Haven,184479.0,22,No,win
RRQ,0.0,4.0,0.0,1.0,0.0,3.0,2.0,14.0,7.0,119578.0,League Play: Week 5,Haven,184479.0,22,No,lose
T1,0.0,4.0,1.0,0.0,0.0,2.0,2.0,11.0,10.0,119579.0,League Play: Week 5,Fracture,184479.0,17,No,win
RRQ,2.0,3.0,2.0,3.0,0.0,5.0,1.0,6.0,1.0,119579.0,League Play: Week 5,Fracture,184479.0,17,No,lose
TS,1.0,3.0,1.0,2.0,1.0,2.0,1.0,17.0,10.0,119581.0,League Play: Week 5,Ascent,184480.0,24,Yes,win
DFM,1.0,3.0,1.0,1.0,0.0,10.0,5.0,10.0,5.0,119581.0,League Play: Week 5,Ascent,184480.0,24,Yes,lose
TS,0.0,4.0,1.0,2.0,0.0,1.0,1.0,14.0,11.0,119582.0,League Play: Week 5,Haven,184480.0,21,No,win
DFM,2.0,3.0,3.0,2.0,0.0,8.0,1.0,8.0,4.0,119582.0,League Play: Week 5,Haven,184480.0,21,No,lose
ZETA,1.0,3.0,2.0,0.0,0.0,11.0,4.0,7.0,2.0,119584.0,League Play: Week 5,Haven,184481.0,21,No,lose
TLN,1.0,3.0,1.0,3.0,0.0,2.0,1.0,13.0,11.0,119584.0,League Play: Week 5,Haven,184481.0,21,No,win
ZETA,1.0,3.0,1.0,1.0,1.0,10.0,4.0,16.0,8.0,119585.0,League Play: Week 5,Ascent,184481.0,30,Yes,lose
TLN,1.0,3.0,1.0,3.0,0.0,4.0,3.0,20.0,12.0,119585.0,League Play: Week 5,Ascent,184481.0,30,Yes,win
T1,1.0,3.0,2.0,1.0,0.0,3.0,2.0,15.0,9.0,119587.0,League Play: Week 6,Lotus,184482.0,22,No,win
DFM,1.0,4.0,1.0,1.0,0.0,9.0,4.0,8.0,4.0,119587.0,League Play: Week 6,Lotus,184482.0,22,No,lose
T1,1.0,4.0,2.0,1.0,0.0,8.0,3.0,9.0,4.0,119588.0,League Play: Week 6,Split,184482.0,22,No,lose
DFM,1.0,3.0,1.0,0.0,0.0,6.0,4.0,13.0,8.0,119588.0,League Play: Week 6,Split,184482.0,22,No,win
T1,0.0,3.0,0.0,1.0,0.0,3.0,3.0,16.0,10.0,119589.0,League Play: Week 6,Fracture,184482.0,23,No,win
DFM,2.0,2.0,2.0,4.0,1.0,6.0,4.0,11.0,3.0,119589.0,League Play: Week 6,Fracture,184482.0,23,No,lose
ZETA,2.0,2.0,2.0,0.0,0.0,12.0,6.0,8.0,5.0,119590.0,League Play: Week 6,Split,184483.0,22,No,win
TS,0.0,3.0,0.0,3.0,2.0,2.0,0.0,14.0,7.0,119590.0,League Play: Week 6,Split,184483.0,22,No,lose
ZETA,1.0,3.0,1.0,2.0,1.0,10.0,3.0,8.0,5.0,119591.0,League Play: Week 6,Lotus,184483.0,23,No,lose
TS,1.0,3.0,1.0,0.0,0.0,4.0,3.0,16.0,9.0,119591.0,League Play: Week 6,Lotus,184483.0,23,No,win
ZETA,2.0,2.0,2.0,1.0,0.0,7.0,3.0,12.0,8.0,119592.0,League Play: Week 6,Fracture,184483.0,22,No,win
TS,0.0,4.0,0.0,2.0,1.0,2.0,0.0,14.0,8.0,119592.0,League Play: Week 6,Fracture,184483.0,22,No,lose
GES,2.0,4.0,2.0,1.0,1.0,3.0,1.0,13.0,9.0,119593.0,League Play: Week 6,Pearl,184484.0,21,No,win
GEN,0.0,3.0,0.0,3.0,1.0,4.0,2.0,11.0,5.0,119593.0,League Play: Week 6,Pearl,184484.0,21,No,lose
GES,1.0,3.0,2.0,0.0,0.0,5.0,4.0,13.0,7.0,119594.0,League Play: Week 6,Lotus,184484.0,21,No,win
GEN,1.0,3.0,1.0,3.0,0.0,7.0,3.0,8.0,4.0,119594.0,League Play: Week 6,Lotus,184484.0,21,No,lose
RRQ,0.0,4.0,0.0,0.0,0.0,4.0,4.0,13.0,9.0,119596.0,League Play: Week 6,Haven,184485.0,21,No,win
DRX,2.0,2.0,2.0,3.0,0.0,5.0,2.0,11.0,4.0,119596.0,League Play: Week 6,Haven,184485.0,21,No,lose
RRQ,1.0,3.0,1.0,1.0,0.0,5.0,1.0,14.0,8.0,119597.0,League Play: Week 6,Split,184485.0,23,No,lose
DRX,1.0,3.0,1.0,0.0,0.0,3.0,1.0,17.0,11.0,119597.0,League Play: Week 6,Split,184485.0,23,No,win
RRQ,1.0,4.0,1.0,1.0,0.0,6.0,0.0,4.0,1.0,119598.0,League Play: Week 6,Pearl,184485.0,15,No,lose
DRX,1.0,3.0,2.0,0.0,0.0,2.0,2.0,10.0,9.0,119598.0,League Play: Week 6,Pearl,184485.0,15,No,win
TLN,1.0,3.0,1.0,1.0,0.0,5.0,3.0,15.0,9.0,119599.0,League Play: Week 6,Pearl,184486.0,24,Yes,win
PRX,1.0,3.0,1.0,1.0,0.0,6.0,3.0,14.0,7.0,119599.0,League Play: Week 6,Pearl,184486.0,24,Yes,lose
TLN,1.0,4.0,1.0,2.0,0.0,4.0,1.0,7.0,2.0,119600.0,League Play: Week 6,Split,184486.0,17,No,lose
PRX,1.0,3.0,2.0,0.0,0.0,1.0,1.0,13.0,10.0,119600.0,League Play: Week 6,Split,184486.0,17,No,win
TLN,1.0,3.0,2.0,2.0,0.0,5.0,2.0,13.0,6.0,119601.0,League Play: Week 6,Fracture,184486.0,23,No,lose
PRX,1.0,3.0,1.0,1.0,0.0,5.0,3.0,14.0,9.0,119601.0,League Play: Week 6,Fracture,184486.0,23,No,win
TLN,2.0,3.0,2.0,2.0,0.0,3.0,1.0,13.0,10.0,119602.0,League Play: Week 7,Fracture,184488.0,21,No,win
GEN,0.0,3.0,1.0,3.0,0.0,3.0,0.0,12.0,7.0,119602.0,League Play: Week 7,Fracture,184488.0,21,No,lose
TLN,1.0,3.0,1.0,0.0,0.0,3.0,2.0,14.0,10.0,119603.0,League Play: Week 7,Lotus,184488.0,20,No,win
