team,pb_phase,map,tourney_type,match_id,game_id
GEN,ban,Bind,League Play: Week 6,184484,0
DRX,ban,Lotus,League Play: Week 6,184485,0
RRQ,ban,Bind,League Play: Week 6,184485,0
DRX,pick,Haven,League Play: Week 6,184485,119596
RRQ,pick,Split,League Play: Week 6,184485,119597
DRX,ban,Fracture,League Play: Week 6,184485,0
RRQ,ban,Ascent,League Play: Week 6,184485,0
TLN,ban,Bind,League Play: Week 6,184486,0
PRX,ban,Haven,League Play: Week 6,184486,0
TLN,pick,Pearl,League Play: Week 6,184486,119599
PRX,pick,Split,League Play: Week 6,184486,119600
TLN,ban,Ascent,League Play: Week 6,184486,0
PRX,ban,Lotus,League Play: Week 6,184486,0
GEN,ban,Pearl,League Play: Week 7,184488,0
TLN,ban,Split,League Play: Week 7,184488,0
GEN,pick,Fracture,League Play: Week 7,184488,119602
TLN,pick,Lotus,League Play: Week 7,184488,119603
GEN,ban,Bind,League Play: Week 7,184488,0
TLN,ban,Ascent,League Play: Week 7,184488,0
PRX,ban,Haven,League Play: Week 7,184489,0
ZETA,ban,Pearl,League Play: Week 7,184489,0
PRX,pick,Split,League Play: Week 7,184489,119605
ZETA,pick,Ascent,League Play: Week 7,184489,119606
PRX,ban,Fracture,League Play: Week 7,184489,0
ZETA,ban,Bind,League Play: Week 7,184489,0
RRQ,ban,Lotus,League Play: Week 7,184490,0
GES,ban,Haven,League Play: Week 7,184490,0
RRQ,pick,Fracture,League Play: Week 7,184490,119608
GES,pick,Pearl,League Play: Week 7,184490,119609
RRQ,ban,Split,League Play: Week 7,184490,0
GES,ban,Ascent,League Play: Week 7,184490,0
TS,ban,Pearl,League Play: Week 7,184491,0
T1,ban,Haven,League Play: Week 7,184491,0
TS,pick,Lotus,League Play: Week 7,184491,119611
T1,pick,Bind,League Play: Week 7,184491,119612
TS,ban,Ascent,League Play: Week 7,184491,0
T1,ban,Split,League Play: Week 7,184491,0
DFM,ban,Haven,League Play: Week 7,184492,0
DRX,ban,Lotus,League Play: Week 7,184492,0
DFM,pick,Fracture,League Play: Week 7,184492,119614
DRX,pick,Ascent,League Play: Week 7,184492,119615
DFM,ban,Split,League Play: Week 7,184492,0
DRX,ban,Bind,League Play: Week 7,184492,0
PRX,ban,Haven,League Play: Week 8,184493,0
GEN,ban,Pearl,League Play: Week 8,184493,0
PRX,pick,Split,League Play: Week 8,184493,119617
GEN,pick,Ascent,League Play: Week 8,184493,119618
PRX,ban,Fracture,League Play: Week 8,184493,0
GEN,ban,Bind,League Play: Week 8,184493,0
ZETA,ban,Pearl,League Play: Week 8,184494,0
T1,ban,Split,League Play: Week 8,184494,0
ZETA,pick,Fracture,League Play: Week 8,184494,119620
T1,pick,Lotus,League Play: Week 8,184494,119621
ZETA,ban,Ascent,League Play: Week 8,184494,0
T1,ban,Haven,League Play: Week 8,184494,0
TS,ban,Pearl,League Play: Week 8,184495,0
DRX,ban,Lotus,League Play: Week 8,184495,0
TS,pick,Haven,League Play: Week 8,184495,119623
DRX,pick,Ascent,League Play: Week 8,184495,119624
TS,ban,Split,League Play: Week 8,184495,0
DRX,ban,Bind,League Play: Week 8,184495,0
DFM,ban,Haven,League Play: Week 8,184496,0
GES,ban,Fracture,League Play: Week 8,184496,0
DFM,pick,Lotus,League Play: Week 8,184496,119626
GES,pick,Pearl,League Play: Week 8,184496,119627
DFM,ban,Ascent,League Play: Week 8,184496,0
GES,ban,Split,League Play: Week 8,184496,0
RRQ,ban,Lotus,League Play: Week 8,184497,0
TLN,ban,Fracture,League Play: Week 8,184497,0
RRQ,pick,Split,League Play: Week 8,184497,119629
TLN,pick,Ascent,League Play: Week 8,184497,119630
RRQ,ban,Pearl,League Play: Week 8,184497,0
TLN,ban,Bind,League Play: Week 8,184497,0
GEN,ban,Pearl,League Play: Week 8,184498,0
