player,opponent,team,opponent_team,kill,death,tourney_type,match_id,map,game_id,total_round,ot,win_lose,agent,role_agent
Rb,SugarZ3ro,DRX,ZETA,1.0,4.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,win,Harbor,Controller
stax,TENNN,DRX,ZETA,2.0,1.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,win,Kayo,Initiator
Zest,TENNN,DRX,ZETA,2.0,3.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,win,Fade,Initiator
Foxy9,TENNN,DRX,ZETA,2.0,2.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,win,Jett,Duelist
Rb,TENNN,DRX,ZETA,2.0,1.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,win,Harbor,Controller
Sayaplayer,AYRIN,T1,GES,4.0,3.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Jett,Duelist
iNTRO,AYRIN,T1,GES,3.0,1.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Viper,Controller
xeta,AYRIN,T1,GES,1.0,1.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Harbor,Controller
Carpe,AYRIN,T1,GES,4.0,4.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Skye,Initiator
Munchkin,AYRIN,T1,GES,3.0,3.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Killjoy,Sentinel
Sayaplayer,Monyet,T1,GES,1.0,3.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Jett,Duelist
iNTRO,Monyet,T1,GES,4.0,1.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Viper,Controller
Carpe,Monyet,T1,GES,3.0,2.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Skye,Initiator
Munchkin,Monyet,T1,GES,3.0,6.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Killjoy,Sentinel
Sayaplayer,WRONSKI,T1,GES,2.0,2.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Jett,Duelist
xeta,WRONSKI,T1,GES,1.0,2.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Harbor,Controller
Carpe,WRONSKI,T1,GES,4.0,2.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Skye,Initiator
Munchkin,WRONSKI,T1,GES,7.0,3.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Killjoy,Sentinel
Sayaplayer,t3xture,T1,GES,4.0,3.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Jett,Duelist
iNTRO,t3xture,T1,GES,2.0,2.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Viper,Controller
Carpe,t3xture,T1,GES,5.0,7.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Skye,Initiator
Munchkin,t3xture,T1,GES,6.0,2.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Killjoy,Sentinel
Sayaplayer,Bazzi,T1,GES,4.0,1.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Jett,Duelist
iNTRO,Bazzi,T1,GES,2.0,2.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Viper,Controller
xeta,Bazzi,T1,GES,4.0,4.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Harbor,Controller
Carpe,Bazzi,T1,GES,4.0,3.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Skye,Initiator
Munchkin,Bazzi,T1,GES,4.0,2.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,win,Killjoy,Sentinel
